iter	Passed	Remaining
414	3378	4763
415	3401	4774
416	3425	4788
417	3426	4771
418	3454	4789
419	3455	4772
420	3467	4768
421	3474	4758
422	3481	4748
423	3482	4731
424	3485	4715
425	3518	4740
426	3524	4729
427	3553	4749
428	3565	4745
429	3568	4730
430	3573	4717
431	3582	4710
432	3584	4693
433	3599	4694
434	3603	4680
435	3609	4669
436	3611	4653
437	3630	4658
438	3633	4643
439	3637	4629
440	3645	4620
441	3680	4646
442	3682	4630
443	3685	4614
444	3691	4603
445	3724	4626
446	3730	4615
447	3735	4602
448	3814	4680
449	3847	4702
450	3853	4691
451	3856	4675
452	3862	4664
453	3865	4648
454	3874	4640
455	3878	4626
456	3903	4637
457	3905	4621
458	3906	4604
459	3908	4588
460	3921	4585
461	3923	4568
462	3937	4567
463	3940	4551
464	3962	4559
465	3968	4547
466	3969	4530
467	3972	4515
468	4018	4549
469	4023	4537
470	4099	4604
471	4126	4616
472	4128	4599
473	4131	4585
474	4133	4568
475	4136	4553
476	4168	4570
477	4170	4554
478	4171	4537
479	4174	4522
480	4231	4566
481	4235	4551
482	4239	4537
483	4302	4586
484	4318	4586
485	4325	4575
486	4330	4561
487	4332	4545
488	4334	4529
489	4340	4517
490	4343	4502
491	4346	4487
492	4349	4473
493	4361	4467
494	4381	4470
495	4460	4532
496	4462	4515
497	4464	4500
498	4491	4509
499	4497	4497
500	4594	4576
501	4597	4561
502	4606	4551
503	4610	4537
504	4613	4521
505	4625	4515
506	4750	4619
507	4753	4603
508	4756	4588
509	4758	4571
510	4760	4555
511	4856	4628
512	4871	4624
513	4886	4620
514	5033	4740
515	5035	4723
516	5038	4706
517	5040	4689
518	5043	4674
519	5074	4684
520	5092	4682
521	5104	4673
522	5107	4657
523	5109	4641
524	5156	4665
525	5175	4663
526	5201	4668
527	5212	4660
528	5214	4643
529	5220	4629
530	5222	4612
531	5225	4596
532	5241	4592
533	5251	4582
534	5254	4566
535	5263	4556
536	5272	4546
537	5275	4530
538	5290	4525
539	5292	4508
540	5309	4504
541	5357	4527
542	5365	4515
543	5369	4500
544	5370	4483
545	5374	4468
546	5380	4456
547	5388	4444
548	5414	4447
549	5415	4431
550	5428	4423
551	5472	4441
552	5474	4425
553	5478	4410
554	5483	4397
555	5486	4381
556	5502	4376
557	5509	4364
558	5513	4349
559	5545	4357
560	5548	4342
561	5565	4337
562	5642	4380
563	5652	4369
564	5666	4362
565	5693	4365
566	5694	4348
567	5702	4336
568	5731	4341
569	5745	4334
570	5748	4318
571	5812	4349
572	5838	4350
573	5840	4334
574	5843	4319
575	5856	4310
576	5858	4294
577	5861	4279
578	5865	4264
579	5867	4248
580	5869	4232
581	5875	4219
582	5907	4225
583	5923	4219
584	5939	4213
585	5942	4198
586	5947	4184
587	5950	4169
588	5953	4154
589	5955	4138
590	5958	4123
591	5963	4109
592	5968	4096
593	5996	4098
594	6007	4088
595	6008	4073
596	6012	4058
597	6014	4043
598	6020	4030
599	6027	4018
600	6048	4015
601	6078	4018
602	6080	4002
603	6095	3996
604	6101	3983
605	6104	3968
606	6156	3985
607	6185	3987
608	6190	3974
609	6199	3963
610	6205	3951
611	6207	3935
612	6228	3932
613	6230	3917
614	6239	3906
615	6260	3902
616	6267	3890
617	6271	3876
618	6285	3868
619	6319	3873
620	6321	3858
621	6335	3850
622	6337	3834
623	6342	3821
624	6344	3806
625	6351	3794
626	6353	3779
627	6365	3770
628	6366	3755
629	6369	3740
630	6385	3734
631	6415	3735
632	6417	3720
633	6433	3713
634	6434	3698
635	6455	3694
636	6459	3681
637	6463	3667
638	6466	3652
639	6480	3645
640	6483	3630
641	6498	3623
642	6507	3613
643	6540	3615
644	6546	3602
645	6548	3588
646	6557	3577
647	6558	3562
648	6562	3549
649	6564	3534
650	6569	3521
651	6570	3507
652	6572	3492
653	6577	3479
654	6580	3465
655	6596	3458
656	6622	3457
657	6627	3444
658	6629	3430
659	6637	3419
660	6642	3406
661	6644	3392
662	6653	3381
663	6657	3368
664	6658	3354
665	6666	3343
666	6673	3331
667	6675	3317
668	6723	3326
669	6764	3331
670	6780	3324
671	6800	3319
672	6811	3309
673	6821	3299
674	6823	3285
675	6838	3277
676	6853	3269
677	6870	3263
678	6887	3255
679	6894	3244
680	6920	3241
681	6936	3234
682	6951	3226
683	6957	3214
684	6959	3200
685	6967	3188
686	6984	3182
687	6994	3171
688	7014	3166
689	7017	3152
690	7032	3144
691	7044	3135
692	7046	3121
693	7047	3107
694	7079	3106
695	7082	3093
696	7087	3081
697	7095	3070
698	7099	3057
699	7102	3044
700	7160	3054
701	7161	3040
702	7181	3034
703	7184	3020
704	7186	3006
705	7203	2999
706	7210	2988
707	7215	2975
708	7224	2965
709	7226	2951
710	7229	2938
711	7266	2939
712	7280	2930
713	7282	2917
714	7284	2903
715	7286	2890
716	7294	2879
717	7310	2871
718	7320	2861
719	7326	2849
720	7339	2840
721	7341	2826
722	7343	2813
723	7353	2803
724	7355	2789
725	7368	2780
726	7373	2768
727	7375	2755
728	7382	2744
729	7388	2732
730	7389	2719
731	7403	2710
732	7406	2697
733	7409	2685
734	7412	2672
735	7415	2659
736	7435	2653
737	7438	2640
738	7453	2632
739	7455	2619
740	7461	2607
741	7465	2595
742	7468	2583
743	7484	2575
744	7486	2562
745	7494	2551
746	7497	2539
747	7524	2535
748	7527	2522
749	7530	2510
750	7534	2497
751	7547	2489
752	7560	2479
753	7566	2468
754	7567	2455
755	7578	2445
756	7579	2433
757	7585	2421
758	7587	2409
759	7591	2397
760	7594	2384
761	7601	2374
762	7604	2362
763	7606	2349
764	7608	2337
765	7634	2332
766	7640	2320
767	7641	2308
768	7646	2296
769	7647	2284
770	7651	2272
771	7656	2261
772	7668	2252
773	7672	2240
774	7673	2227
775	7681	2217
776	7683	2205
777	7688	2193
778	7690	2181
779	7713	2175
780	7718	2164
781	7731	2155
782	7737	2144
783	7754	2136
784	7770	2128
785	7771	2116
786	7776	2104
787	7778	2092
788	7780	2080
789	7785	2069
790	7786	2057
791	7796	2047
792	7799	2035
793	7800	2023
794	7811	2014
795	7819	2004
796	7850	1999
797	7852	1987
798	7859	1977
799	7864	1966
800	7866	1954
801	7867	1942
802	7885	1934
803	7892	1924
804	7898	1913
805	7900	1901
806	7902	1890
807	7908	1879
808	7923	1870
809	7936	1861
810	7938	1850
811	7940	1838
812	7947	1827
813	7950	1816
814	7968	1808
815	7973	1797
816	7989	1789
817	8006	1781
818	8029	1774
819	8032	1763
820	8038	1752
821	8045	1742
822	8047	1730
823	8054	1720
824	8067	1711
825	8070	1700
826	8071	1688
827	8087	1680
828	8103	1671
829	8107	1660
830	8110	1649
831	8116	1638
832	8132	1630
833	8149	1622
834	8163	1613
835	8175	1603
836	8180	1593
837	8211	1587
838	8214	1576
839	8220	1565
840	8227	1555
841	8230	1544
842	8260	1538
843	8261	1527
844	8264	1516
845	8269	1505
846	8276	1495
847	8279	1484
848	8283	1473
849	8286	1462
850	8294	1452
851	8301	1441
852	8316	1433
853	8318	1422
854	8325	1412
855	8349	1404
856	8361	1395
857	8365	1384
858	8383	1376
859	8393	1366
860	8395	1355
861	8397	1344
862	8399	1333
863	8413	1324
864	8416	1313
865	8424	1303
866	8429	1293
867	8431	1282
868	8434	1271
869	8440	1261
870	8445	1250
871	8449	1240
872	8456	1230
873	8462	1219
874	8464	1209
875	8466	1198
876	8473	1188
877	8478	1178
878	8481	1167
879	8499	1158
880	8506	1149
881	8513	1138
882	8534	1130
883	8537	1120
884	8539	1109
885	8542	1099
886	8545	1088
887	8548	1078
888	8549	1067
889	8555	1057
890	8563	1047
891	8565	1037
892	8571	1026
893	8572	1016
894	8580	1006
895	8586	996
896	8588	986
897	8591	975
898	8599	966
899	8606	956
900	8609	945
901	8611	935
902	8618	925
903	8644	918
904	8649	907
905	8659	898
906	8664	888
907	8666	878
908	8667	867
909	8669	857
910	8684	848
911	8688	838
912	8692	828
913	8695	818
914	8698	808
915	8703	798
916	8705	787
917	8707	777
918	8710	767
919	8713	757
920	8715	747
921	8721	737
922	8724	727
923	8726	717
924	8727	707
925	8737	698
926	8740	688
927	8741	678
928	8744	668
929	8747	658
930	8755	648
931	8757	638
932	8763	629
933	8765	619
934	8771	609
935	8787	600
936	8794	591
937	8796	581
938	8814	572
939	8821	563
940	8827	553
941	8829	543
942	8834	534
943	8880	526
944	8883	517
945	8886	507
946	8890	497
947	8892	487
948	8895	478
949	8898	468
950	8900	458
951	8901	448
952	8934	440
953	8940	431
954	8950	421
955	8976	413
956	8980	403
957	8982	393
958	8986	384
959	8990	374
960	8992	364
961	8994	355
962	8999	345
963	9001	336
964	9003	326
965	9004	316
966	9011	307
967	9014	297
968	9015	288
969	9018	278
970	9023	269
971	9025	259
972	9032	250
973	9051	241
974	9060	232
975	9061	222
976	9067	213
977	9074	204
978	9076	194
979	9092	185
980	9095	176
981	9097	166
982	9123	157
983	9128	148
984	9133	139
985	9160	130
986	9179	120
987	9180	111
988	9183	102
989	9188	92
990	9189	83
991	9198	74
992	9208	64
993	9227	55
994	9230	46
995	9237	37
996	9245	27
997	9246	18
998	9278	9
999	9280	0
